Algorithm,Compiler,CompilerVersion,OptimizationFlags,CPUModel,OS,Timestamp,Operation,Iterations,Average(us),Median(us),Minimum(us),Maximum(us),StdDev(us),CI95(us),OpsPerSecond,RelativeSlowdown,OverheadPct
RSA-2048,Clang,"Clang 22.1.8"," -march=native -fomit-frame-pointer ","AMD Ryzen 7 8845HS w/ Radeon 780M Graphics",Linux,2026-07-19 16:01:32 IST,Key Generation,100,39697.1479,35882.9620,7714.2140,128279.5150,23463.8462,4598.9139,25.19,1.0000,0.0000
RSA-2048,Clang,"Clang 22.1.8"," -march=native -fomit-frame-pointer ","AMD Ryzen 7 8845HS w/ Radeon 780M Graphics",Linux,2026-07-19 16:01:32 IST,Sign,100,237.4867,229.1220,228.7420,470.8390,41.1706,8.0694,4210.76,1.0000,0.0000
RSA-2048,Clang,"Clang 22.1.8"," -march=native -fomit-frame-pointer ","AMD Ryzen 7 8845HS w/ Radeon 780M Graphics",Linux,2026-07-19 16:01:32 IST,Verify,100,17.7474,17.6730,17.5940,21.4210,0.5200,0.1019,56346.31,1.0000,0.0000
ML-DSA-65,Clang,"Clang 22.1.8"," -march=native -fomit-frame-pointer ","AMD Ryzen 7 8845HS w/ Radeon 780M Graphics",Linux,2026-07-19 16:01:32 IST,Key Generation,100,161.1307,160.1825,158.6100,202.6730,4.5086,0.8837,6206.14,0.0041,-99.5941
ML-DSA-65,Clang,"Clang 22.1.8"," -march=native -fomit-frame-pointer ","AMD Ryzen 7 8845HS w/ Radeon 780M Graphics",Linux,2026-07-19 16:01:32 IST,Sign,100,909.8043,718.0055,304.3540,3762.7640,724.4960,142.0012,1099.14,3.8310,283.0970
ML-DSA-65,Clang,"Clang 22.1.8"," -march=native -fomit-frame-pointer ","AMD Ryzen 7 8845HS w/ Radeon 780M Graphics",Linux,2026-07-19 16:01:32 IST,Verify,100,159.7241,159.0100,158.3690,166.0230,1.7282,0.3387,6260.80,8.9999,799.9863
