Algorithm,Compiler,CompilerVersion,OptimizationFlags,CPUModel,OS,Timestamp,Operation,Iterations,Average(us),Median(us),Minimum(us),Maximum(us),StdDev(us),CI95(us),OpsPerSecond,RelativeSlowdown,OverheadPct
RSA-2048,Clang,"Clang 16.1.x"," -march=native -fomit-frame-pointer ","AMD Ryzen 7 8845HS w/ Radeon 780M Graphics",Linux,2026-07-19 16:01:41 IST,Boot Verification,1000,2282.5982,2274.4285,2270.6370,3755.0590,90.8514,5.6310,438.10,1.0000,0.0000
ML-DSA-65,Clang,"Clang 16.1.x"," -march=native -fomit-frame-pointer ","AMD Ryzen 7 8845HS w/ Radeon 780M Graphics",Linux,2026-07-19 16:01:41 IST,Boot Verification,1000,8339.9932,8270.0575,8222.9540,9911.1110,207.3207,12.8499,119.90,3.6537,265.3728
