Algorithm,Compiler,CompilerVersion,OptimizationFlags,CPUModel,OS,Timestamp,Operation,Iterations,Average(us),Median(us),Minimum(us),Maximum(us),StdDev(us),CI95(us),OpsPerSecond,RelativeSlowdown,OverheadPct
RSA-2048,Clang,"Clang 16.1.x"," -march=native -fomit-frame-pointer ","AMD Ryzen 7 8845HS w/ Radeon 780M Graphics",Linux,2026-07-19 16:01:53 IST,Verify 100 Packages,10,58381.1911,58374.6790,58349.6370,58428.3350,29.7361,18.4306,17.13,1.0000,0.0000
ML-DSA-65,Clang,"Clang 16.1.x"," -march=native -fomit-frame-pointer ","AMD Ryzen 7 8845HS w/ Radeon 780M Graphics",Linux,2026-07-19 16:01:53 IST,Verify 100 Packages,10,220150.3041,219717.0420,219373.5290,221398.1610,813.0428,503.9292,4.54,3.7709,277.0911
RSA-2048,Clang,"Clang 16.1.x"," -march=native -fomit-frame-pointer ","AMD Ryzen 7 8845HS w/ Radeon 780M Graphics",Linux,2026-07-19 16:01:53 IST,Verify 500 Packages,10,292603.5225,292433.3665,291515.1630,294593.2640,1038.6243,643.7460,3.42,1.0000,0.0000
ML-DSA-65,Clang,"Clang 16.1.x"," -march=native -fomit-frame-pointer ","AMD Ryzen 7 8845HS w/ Radeon 780M Graphics",Linux,2026-07-19 16:01:53 IST,Verify 500 Packages,10,1099172.7688,1098959.3320,1097324.5860,1100820.9560,1140.2199,706.7156,0.91,3.7565,275.6526
RSA-2048,Clang,"Clang 16.1.x"," -march=native -fomit-frame-pointer ","AMD Ryzen 7 8845HS w/ Radeon 780M Graphics",Linux,2026-07-19 16:01:53 IST,Verify 1000 Packages,10,584910.7802,584748.8340,584546.1180,586315.0570,511.1957,316.8424,1.71,1.0000,0.0000
ML-DSA-65,Clang,"Clang 16.1.x"," -march=native -fomit-frame-pointer ","AMD Ryzen 7 8845HS w/ Radeon 780M Graphics",Linux,2026-07-19 16:01:53 IST,Verify 1000 Packages,10,2197837.5742,2197853.1605,2195831.8740,2199764.9090,1236.6069,766.4569,0.45,3.7576,275.7560
